utility,customer_name,customer_account,service_account,meter_id,pod_id,service_address,service_city,service_state,service_zip,rate_schedule,rin,billing_period_start,billing_period_end,billing_days,kwh_total,kwh_on_peak,kwh_mid_peak,kwh_off_peak,kwh_super_off_peak,demand_kw_max,demand_kw_on_peak,demand_kw_mid_peak,demand_kw_off_peak,demand_kw_super_off_peak,energy_charges_usd,demand_charges_usd,taxes_usd,fees_usd,other_charges_usd,total_new_charges_usd,amount_due_usd,due_date,bill_prepared_date,service_voltage,source_file,parser_id,parse_confidence,notes,line_items_json
SCE,"XU HOLDINGS, LLC",700332402169,8001137455,259000-081267,101760940008131289,14808 LOS ANGELES ST,IRWINDALE,CA,91706,TOU-GS-2-E,USCA-SCSC-1600-0000,2025-08-28,2025-09-28,32,5466,959,158,4349,,35,35,6,32,,1691.72,658.70,,,466.48,2816.90,2816.90,2025-10-20,2025-09-29,480 volts,bill1.pdf,sce_tou_gs2_layout_v1,1.00,summer TOU,[]
SCE,"XU HOLDINGS, LLC",700332402169,8001137455,259000-081267,101760940008131289,14808 LOS ANGELES ST,IRWINDALE,CA,91706,TOU-GS-2-E,USCA-SCSC-1600-0000,2025-09-29,2025-10-27,29,4708,70,833,1317,2488,26,19,26,19,26,720.64,448.98,,,404.13,1573.75,1573.75,2025-11-17,2025-10-28,480 volts,bill2.pdf,sce_tou_gs2_layout_v1,1.00,transition summer/winter TOU,[]
SCE,"XU HOLDINGS, LLC",700332402169,8001137455,259000-081267,101760940008131289,14808 LOS ANGELES ST,IRWINDALE,CA,91706,TOU-GS-2-E,USCA-SCSC-1600-0000,2025-10-28,2025-11-28,32,5518,,1167,1242,3109,35,,35,13,29,776.25,604.10,,,429.11,1809.46,1809.46,2025-12-19,2025-11-29,480 volts,bill3.pdf,sce_tou_gs2_layout_v1,1.00,winter TOU (no on-peak),[]
SCE,"XU HOLDINGS, LLC",700332402169,8001137455,259000-081267,101760940008131289,14808 LOS ANGELES ST,IRWINDALE,CA,91706,TOU-GS-2-E,USCA-SCSC-1600-0000,2025-11-29,2025-12-29,31,5192,,1170,1274,2748,32,,32,19,26,739.53,552.32,,,419.74,1711.59,1711.59,2026-01-19,2025-12-30,480 volts,bill4.pdf,sce_tou_gs2_layout_v1,1.00,winter TOU (no on-peak),[]
SCE,"XU HOLDINGS, LLC",700332402169,8001137455,259000-081267,101760940008131289,14808 LOS ANGELES ST,IRWINDALE,CA,91706,TOU-GS-2-E,USCA-SCSC-1600-0000,2025-12-30,2026-01-28,30,5524,,1150,1284,3090,29,,29,19,29,706.87,514.08,,,437.37,1658.32,1658.32,2026-02-18,2026-01-29,480 volts,bill5.pdf,sce_tou_gs2_layout_v1,1.00,winter TOU (no on-peak),[]
SCE,"XU HOLDINGS, LLC",700332402169,8001137455,259000-081267,101760940008131289,14808 LOS ANGELES ST,IRWINDALE,CA,91706,TOU-GS-2-E,USCA-SCSC-1600-0000,2026-01-29,2026-03-01,32,5330,,1175,1209,2946,35,,35,16,29,680.88,621.60,,,442.94,1745.42,1745.42,2026-03-23,2026-03-02,480 volts,bill6.pdf,sce_tou_gs2_layout_v1,1.00,winter TOU (no on-peak),[]
SCE,"XU HOLDINGS, LLC",700332402169,8001137455,259000-081267,101760940008131289,14808 LOS ANGELES ST,IRWINDALE,CA,91706,TOU-GS-2-E,USCA-SCSC-1600-0000,2026-03-02,2026-03-30,29,4864,,1026,1040,2798,32,,32,13,29,616.28,568.32,,,428.59,1613.19,1613.19,2026-04-20,2026-03-31,480 volts,bill9.pdf,sce_tou_gs2_layout_v1,1.00,winter TOU (no on-peak),[]
SCE,"XU HOLDINGS, LLC",700332402169,8001137455,259000-081267,101760940008131289,14808 LOS ANGELES ST,IRWINDALE,CA,91706,TOU-GS-2-E,USCA-SCSC-1600-0000,2026-03-31,2026-04-29,30,4836,,1042,1074,2720,26,,26,19,26,615.33,461.76,,,420.19,1497.28,1497.28,2026-05-20,2026-04-30,480 volts,bill10.pdf,sce_tou_gs2_layout_v1,1.00,winter TOU (no on-peak),[]
SCE,"XU HOLDINGS, LLC",700332402169,8001137455,259000-081267,101760940008131289,14808 LOS ANGELES ST,IRWINDALE,CA,91706,TOU-GS-2-E,USCA-SCSC-1600-0000,2026-04-30,2026-05-31,32,4891,,1052,1151,2688,29,,29,13,26,623.46,515.04,,,425.45,1563.95,1563.95,2026-06-22,2026-06-01,480 volts,bill11.pdf,sce_tou_gs2_layout_v1,1.00,winter TOU (no on-peak),[]
SCE,"XU HOLDINGS, LLC",700332402169,8001137455,259000-081267,101760940008131289,14808 LOS ANGELES ST,IRWINDALE,CA,91706,TOU-GS-2-E,USCA-SCSC-1600-0000,2026-06-01,2026-06-29,29,5182,1187,102,3893,,29,29,6,26,,1908.51,622.92,,,539.80,3071.23,3071.23,2026-07-20,2026-06-30,480 volts,bill7.pdf,sce_tou_gs2_layout_v1,1.00,summer TOU,[]
SCE,"XU HOLDINGS, LLC",700332402169,8001137455,259000-081267,101760940008131289,14808 LOS ANGELES ST,IRWINDALE,CA,91706,TOU-GS-2-E,USCA-SCSC-1600-0000,2026-06-30,2026-07-29,30,5377,1217,100,4060,,23,23,4,21,,1970.22,494.04,,,537.07,3001.33,3001.33,2026-08-19,2026-07-30,480 volts,bill8.pdf,sce_tou_gs2_layout_v1,1.00,summer TOU,[]
SCE,"XU HOLDINGS, LLC",700332402169,8001137455,259000-081267,101760940008131289,14808 LOS ANGELES ST,IRWINDALE,CA,91706,TOU-GS-2-E,USCA-SCSC-1600-0000,2026-07-30,2026-08-27,29,5142,1140,102,3900,,23,23,4,21,,1870.03,494.04,203.12,323.66,0.00,2890.85,2890.85,2026-09-17,2026-08-28,480 volts,bill0-original.pdf,sce_tou_gs2_layout_v1,1.00,summer TOU,"[{""label"":""Facilities rel demand"",""amount_usd"":""364.09"",""category"":""demand""},{""label"":""On peak"",""amount_usd"":""550.10"",""category"":""energy""},{""label"":""Mid peak"",""amount_usd"":""27.46"",""category"":""energy""},{""label"":""Off peak"",""amount_usd"":""611.36"",""category"":""energy""},{""label"":""Wildfire fund charge"",""amount_usd"":""30.39"",""category"":""fee""},{""label"":""Customer charge"",""amount_usd"":""268.43"",""category"":""fee""},{""label"":""On peak"",""amount_usd"":""129.95"",""category"":""demand""},{""label"":""On peak"",""amount_usd"":""420.97"",""category"":""energy""},{""label"":""Mid peak"",""amount_usd"":""10.19"",""category"":""energy""},{""label"":""Off peak"",""amount_usd"":""249.95"",""category"":""energy""},{""label"":""Fixed recovery charge"",""amount_usd"":""24.84"",""category"":""fee""},{""label"":""Irwindale UUT"",""amount_usd"":""201.58"",""category"":""tax""},{""label"":""State tax"",""amount_usd"":""1.54"",""category"":""tax""}]"
